state,female,male
Alabama,23,13
Alaska,9,8
Arizona,54,42
Arkansas,9,10
California,332,409
Colorado,46,34
Connecticut,30,25
Delaware,4,2
District of Columbia,26,25
Florida,136,122
Georgia,64,73
Hawaii,11,8
Idaho,7,8
Illinois,109,102
Indiana,38,44
Iowa,16,26
Kansas,22,30
Kentucky,35,37
Louisiana,37,33
Maine,12,6
Maryland,35,48
Massachusetts,81,75
Michigan,96,66
Minnesota,34,56
Mississippi,13,10
Missouri,36,34
Montana,1,5
Nebraska,9,13
Nevada,28,35
New Hampshire,6,8
New Jersey,42,52
New Mexico,11,7
New York,291,252
North Carolina,62,55
North Dakota,1,2
Ohio,103,94
Oklahoma,15,23
Oregon,31,43
Pennsylvania,76,93
Rhode Island,7,8
South Carolina,25,25
South Dakota,8,5
Tennessee,59,54
Texas,187,214
Utah,19,24
Vermont,4,5
Virginia,73,49
Washington,60,55
West Virginia,15,10
Wisconsin,39,37
Wyoming,6,3
,,
