categories,category_total,female_cat,male_cat,gender_FM,gender_total,,Humor,Humor_count,Philanthropic,Philanthropic_count,Recreation & Leisure,Recreation & Leisure_count,Health & Fitness,Health & Fitness_count,Family/Friends/Relationships,Family/Friends/Relationships,Career,Career_count,Finance,Finance_count,Time Management/Organization,Time Management/Organization_count
Health & Fitness,840,467,373,female,2493,,Resolutions in general,137,Find a charity to support,10,Other,123,Other,64,Other,63,Other,17,Save money,103,Other,6
Humor,1010,369,641,male,2517,,Other,43,Other,14,Spend more time on my hobby,115,Improve my body,128,Make more time for friends,31,Ask for a promotion,8,Other,24,Learn better time management practices,15
Personal Growth,1781,975,806,,,,New Years,134,Volunteer more,19,Take a trip,62,Quit smoking,93,Spend more time with family,47,Get a new job,37,Manage debt,11,Clean something,11
Philanthropic,84,42,42,,,,Health & Fitness ,170,Spread Peace,18,Take a cross country trip,12,Eat healthier,121,Make new friends,57,Get dream job,13,Invest for retirement,8,Re-organize,44
Education,89,44,45,,,,Personal Growth & Interests,180,Donate more to charity,23,Hike more,25,Excersize More,95,Find a Girlfriend,41,Start a new business,10,Cash in on my stock options,15,Stop procrastinating,7
Recreation,467,216,251,,,,Family/Friends/Relationships ,108,,,Go to Europe,15,Go to the gym more,60,Propose to my girlfriend / boyfriend,9,Work for myself,14,Pay off bill(s),15,Start waking up earlier,2
Family/Friends,350,188,163,,,,Time Management/Organization ,43,,,See a Concert/Show,37,Lose weight,95,Be better at keeping in touch with loved ones or friends,53,Work less,3,,,Fix up my home office,2
Career,126,46,80,,,,Helping Others,34,,,Take more vacation,19,Run a half / full marathon,22,Spend more time with significant other,26,Quit job,4,,,,
Finance,176,96,80,,,,Keeping Resolutions,41,,,Spend more time outside,35,Drink more water,16,Have a baby,19,Ask for a raise,5,,,,
Time Management,87,50,37,,,,Recreation and Leisure ,59,,,Buy a motorcycle,10,Set up a home gym,11,Have another baby,4,Make more money,9,,,,
,,,,,,,Finance ,18,,,Cook more,14,Eat less meat,9,,,Join a startup,6,,,,
,,,,,,,Education/Training ,22,,,,,Go gluten free,10,,,,,,,,
,,,,,,,Career ,21,,,,,Stop/Quit Drinking,31,,,,,,,,
,,,,,,,,,,,,,Eat fewer carbs,10,,,,,,,,
,,,,,,,,,,,,,Drink Less Caffine,17,,,,,,,,
,,,,,,,,,,,,,Eat Less Sugar,21,,,,,,,,
,,,,,,,,,,,,,Meditate,8,,,,,,,,
,,,,,,,,,,,,,Try a new 'fad' workout,11,,,,,,,,
,,,,,,,,,,,,,Eat more vegetables,6,,,,,,,,
,,,,,,,,,,,,,Get more sleep,12,,,,,,,,
