handle,gender,tweet,category,topic,date,lat,long,location,state
alexisbreana93,female,"#NewYearsResolution: the next time a guy says ""you deserve better than me"" I'm gonna believe him, cause he's probably right.",Humor,Humor about not Resolutions in general,12/31/2014,30.7350406,-88.493681,"Lucedale Rd, Lucedale, MS 39452, USA",Alabama
LeashHoward,female,"RT @ChelsaeWagner: ""Be good to people. Popularity fades, kindness does not."" #NewYearsResolution",Personal Growth,Respect Others,12/31/2014,34.4942536,-85.8477494,"Rainsville, AL, USA",Alabama
rachellbaines,female,RT @krovere5: ' But one thing I do: forgetting what lies behind &amp; straining forward to what lies ahead..' ~ Paul.  #NewYearsResolution,Personal Growth,Learn to let things go,12/31/2014,31.9909813,-87.2905456,"Camden, AL 36726, USA",Alabama
aculpepper16,female,#NewYearsResolution Next year I'm gonna do the best and be the best that I can possibly be ☺️,Personal Growth,Be more positive,12/31/2014,31.2926762,-85.1115965,"Columbia, AL, USA",Alabama
loganagills,male,#NewYearsResolution NO CUSS WORDS.  #letsseehowthisends,Personal Growth,Curse less,12/30/2014,33.6845539,-87.8308522,"Fayette, AL 35555, USA",Alabama
aculpepper16,female,#NewYearsResolution In 2015 I will take more chances 🎉,Personal Growth,Be more positive,12/31/2014,31.2926762,-85.1115965,"Columbia, AL, USA",Alabama
hmarie913,female,I pray to walk closer to God!! #NewYearsResolution,Personal Growth,Focus on Religion and Faith,12/31/2014,34.5789747,-85.986644,"Section, AL, USA",Alabama
DonC_Bxtch,male,RT @TYB_Jarvey: #NewYearsResolution make every cent count.,Finance,Save money,12/31/2014,33.7928041,-84.3232059,"Alabama Hall, Atlanta, GA 30322, USA",Alabama
CaryBayless,male,My #NewYearsResolution is to eat it every Mexican restaurant in Chattanooga.,Personal Growth,Other,12/31/2014,32.6098566,-85.4807825,"Auburn, AL, USA",Alabama
ChrisYow14,male,@FCgoodnews To be smarter about finances and lose 40 pounds. CAN IT BE DONE?! #NewYearsResolution,Finance,Other,12/31/2014,34.75556,-87.48528,"Hatton, AL 35646, USA",Alabama
KatieLynnCagle,female,"My #NewYearsResolution is to be a nice person, but also maintain my current level of sass and bitchiness. Thats a thing, right?",Personal Growth,Be more positive,12/31/2014,31.3085039,-86.4832913,"Andalusia, AL, USA",Alabama
annaraeoflight,female,My #newyearsresolution is to wake up looking like Blake Lively #wcw http://t.co/6iE9kG1Sx8,Personal Growth,Improve my appearance,12/31/2014,31.7604501,-87.2020618,"Laurence Ave, Beatrice, AL 36425, USA",Alabama
smockled,male,"In 2015, I will be fitter, happier and more productive: http://t.co/S56VPxRWhq.  #NewYearsResolution",Health & Fitness,Improve my body,1/1/2015,32.6098566,-85.4807825,"Auburn, AL, USA",Alabama
PhillipHartzog,male,Don't think outside the box. Think like there is no box. #NewYearsResolution,Humor,Humor about New Years,1/1/2015,31.5718352,-85.2504893,"Abbeville, AL 36310, USA",Alabama
GirlscanBdicks2,female,My #NewYearsResolution is to love myself more and assholes less,Personal Growth,Be more positive,1/1/2015,32.3668052,-86.2999689,"Montgomery, AL, USA",Alabama
CholYerlow2,male,"#NewYearsResolution No. 1: Get ""Chol's Animation Analysis"" started. (Aiming to have ""love according to Summer Wars"" by February",Recreation & Leisure,Spend more time on my hobby,1/1/2015,34.79981,-87.677251,"Florence, AL, USA",Alabama
stoner_dollar,female,Happy new years had a great time with @Skyys_The_Way #mikehardlemonade #pinklemonade #newyearskiss #NewYearsResolution is to stop smoking ✌️,Health & Fitness,Quit smoking,1/1/2015,31.2232313,-85.3904888,"Dothan, AL, USA",Alabama
lbr924,female,My New Years Resolution is simplistic. I am going to spend 2015 being happy. Be Happy no matter what life throws my way #NewYearsResolution,Personal Growth,Get a tattoo,12/31/2014,31.8295972,-86.6177517,"Greenville, AL, USA",Alabama
_LOVEmel8r,female,“@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes” 👏👏,Health & Fitness,Quit smoking,12/31/2014,33.5206608,-86.80249,"Birmingham, AL, USA",Alabama
KeithCortez_,male,New Years resolution: Gotta get an up to date vehicle 😂😂,Recreation & Leisure,Other,1/1/2015,32.6098566,-85.4807825,"Auburn, AL, USA",Alabama
morganw0297,female,RT @Case_Wallin: I have no New Years resolution that after a week of 2015 I planned on forgetting about 😅😂,Humor,Humor about not Resolutions in general,1/1/2015,32.3182314,-86.902298,"Alabama, USA",Alabama
KamiCon_Kosho,female,I already broke my New Years Resolution. But Zebra Cakes smothered in syrup is such a good breakfast...,Humor,Humor about Health and Fitness Resolutions,1/1/2015,33.4053867,-86.8113781,"Hoover, AL, USA",Alabama
_kinsley,female,My New Years resolution= own a 4-door jeep wrangler,Finance,Other,1/2/2015,33.2098407,-87.5691735,"Tuscaloosa, AL, USA",Alabama
_bethany2014_,female,“@BestHairstyIes: Blake Lively is my New Years Resolution http://t.co/TSrn4jNBp1”,Humor,Humor about not Resolutions in general,1/2/2015,31.2826685,-86.2555067,"Opp, AL, USA",Alabama
RahidaMiah,female,RT @lucky_uddin1: #NewYearsResolution Overcome Every Obstacle Life Throws At Me With A Smile...,Personal Growth,Watch less TV,12/23/2014,33.5206608,-86.80249,"Birmingham, AL, USA",Alabama
brookelynette14,female,maybe one day I'll get out of bed and not look like I've been hit by a truck #NewYearsResolution,Personal Growth,Focus on my self,12/29/2014,33.2098407,-87.5691735,"Tuscaloosa, AL, USA",Alabama
___knastyyyyyyy,male,#NewYearsResolution to start acting more mixed.,Personal Growth,Watch less TV,12/24/2014,31.5823832,-86.2571786,"Brantley, AL, USA",Alabama
TylerMynatt,male,Time to start this positivity thing again.... I will defeat this negativity.... #NewYearsResolution #2015,Personal Growth,Be more positive,12/26/2014,33.2098407,-87.5691735,"Tuscaloosa, AL, USA",Alabama
KarylDeane,female,Becoming closer to Christ is the only #NewYearsResolution for this girl!!,Personal Growth,Focus on Religion and Faith,12/27/2014,34.9840722,-86.8396032,"Ardmore, AL, USA",Alabama
Cyndi__C,female,"Still thinking of my #NewYearsResolution . I am actually going for two attainable ones this year, one helps others, and both help me. #doit",Philanthropic,Volunteer more,12/27/2014,34.79981,-87.677251,"Florence, AL, USA",Alabama
conniebriddle,female,Spiritual Evaluation #NewYearsResolution http://t.co/q7jRZgY6Oz,Personal Growth,Be more positive,12/28/2014,32.4640245,-86.4596966,"Prattville, AL, USA",Alabama
TabithaPhilen,female,Thought about taking up yoga for a #newyearsresolution but #planking looks fun too. #AmIDoingThisRight… http://t.co/QnyPIXX30e,Health & Fitness,Eat healthier,12/28/2014,30.6964406,-88.1803557,"USA, Mobile, AL, USA",Alabama
mis_happ,female,RT @SweetCodeine: #NewYearsResolution to change my name to Ariel,Humor,Humor about Personal Growth and Interests Resolutions,12/28/2014,33.5206608,-86.80249,"Birmingham, AL, USA",Alabama
El_DeNegro,male,Boy I'm dead 😂😂😂😂RT @ochocinco: 😂😂😂 RT @VoiceofDaReal: #NewYearsResolution #NewYearNewMeSteps http://t.co/GRdxscdXBN,Humor,Humor about New Years,12/29/2014,33.5206608,-86.80249,"Birmingham, AL, USA",Alabama
5dayapp,male,"@UpgradedApe didn't forget about you. OK, maybe I kinda did just for a bit. But, I'll make time this year I promise! :) #NewYearsResolution",Family/Friends/Relationships,Make more time for friends,12/30/2014,43.0964478,-78.3908559,"Alabama, NY 14013, USA",Alabama
ChrisBDalton,male,#NewYearsResolution marry @AnnaKendrick47,Humor,Humor about Family/Friends/Relationships Resolutions,12/30/2014,34.8139739,-86.1152603,"Skyline, AL, USA",Alabama
Jnoguet,male,Farewell #2014! My #NewYearsResolution is to #quitsmoking and have a brighter #smile. #mynewbackground http://t.co/xsezqyedT7,Health & Fitness,Quit smoking,12/31/2014,58.3019444,-134.4197222,"Juneau, AK, USA",Alaska
katezuray,female,my #NewYearsResolution is to call my grandmother more often,Family/Friends/Relationships,Spend more time with family,12/31/2014,65.1719444,-152.0788889,"Tanana, AK, USA",Alaska
katezuray,female,RT @rockii96: #NewYearsResolution .Go to the gym once this year.,Health & Fitness,Excersize More,12/31/2014,65.1719444,-152.0788889,"Tanana, AK, USA",Alaska
alaskablog,male,My New Years resolution is to not be an asshole anymore.... Or any less. #NewYearsResolution,Personal Growth,Use more social media,12/31/2014,61.2180556,-149.9002778,"Anchorage, AK, USA",Alaska
MillenaLee767,female,"New year, new me 😊 imma start putting on more makeup...weird resolution #NewYearsResolution http://t.co/myUxPAs6Pz",Personal Growth,Update my wardrobe,12/31/2014,64.8377778,-147.7163889,"Fairbanks, AK, USA",Alaska
CourtTalerico,male,RT @alan_lonewolf: More tattoos #NewYearsResolution,Personal Growth,Get a tattoo,12/31/2014,63.8697384,-149.0215109,"Healy, AK, USA",Alaska
piscespastimes,female,New Year's Eve is the perfect time to block those pesky relatives on Facebook that you've shown restraint to in 2014. #NewYearsResolution,Family/Friends/Relationships,Spend more time with family,12/31/2014,64.2008413,-149.4936733,"Alaska, USA",Alaska
ellengroseclose,female,#NewYearsResolution sleep until 2016,Humor,Humor about Personal Growth and Interests Resolutions,12/31/2014,64.2008413,-149.4936733,"Alaska, USA",Alaska
AKMan4201,male,#NewYearsResolution for 2015.... To finish the cabin this year.,Personal Growth,Focus on Religion and Faith,1/1/2015,61.2180556,-149.9002778,"Anchorage, AK, USA",Alaska
OhxLalaaa,female,"Okay stank ass ""@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes""",Health & Fitness,Quit smoking,1/1/2015,64.2008413,-149.4936733,"Alaska, USA",Alaska
Anthony_Joslyn,male,New Years Resolution for 2015! #bebrave #2015 #newyearsresolution #bringiton2015 @ Ketchikan Home http://t.co/R9uikuIiwL,Personal Growth,Improve my attitude,1/1/2015,55.3422222,-131.6461111,"Ketchikan, AK 99901, USA",Alaska
Shoyaisasian,male,#NewYearsResolution legitimately make Youtube vids like in middle school again w/ @ArturKavaliov @koheisasian,Personal Growth,Have more patience,12/30/2014,61.5997222,-149.1127778,"Palmer, AK 99645, USA",Alaska
Stefanipns,female,http://t.co/lCV97vwVn6 : motivate yourself. #workoutorwalkout #GymTime #healthyliving #NewYearsResolution ► http://t.co/GlxW6TWj38,Health & Fitness,Quit smoking,12/22/2014,64.2008413,-149.4936733,"Alaska, USA",Alaska
