category,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Health & Fitness,4,4,11,7,115,10,10,2,5,35,18,3,2,43,14,5,6,14,17,5,8,33,33,16,5,10,0,9,6,1,14,4,80,13,1,33,13,12,23,3,12,5,18,72,9,1,31,17,10,16,2
Humor,8,2,22,6,170,11,8,0,7,38,22,3,2,52,20,9,12,13,12,0,21,36,25,19,1,11,2,1,11,2,17,3,123,25,1,36,4,18,35,3,11,1,28,82,9,2,19,29,3,14,1
Personal Growth,17,6,37,1,250,37,30,1,23,103,50,8,7,69,26,20,25,27,23,7,34,46,52,30,11,29,3,8,31,7,38,8,184,49,1,65,14,21,54,4,18,4,38,140,15,5,37,34,6,23,5
Philanthropic,1,0,1,1,12,0,0,0,1,5,3,1,0,2,1,0,0,0,1,1,2,1,3,2,0,1,0,1,1,1,2,0,9,3,0,2,0,1,4,1,0,0,6,8,0,0,2,3,1,0,0
Education/Training,0,0,3,0,10,3,1,1,1,4,2,2,0,0,2,1,0,1,2,1,0,2,3,2,1,1,0,0,1,1,2,0,11,3,0,4,0,0,1,0,1,0,0,12,1,0,3,3,2,1,0
Recreation & Leisure,2,0,8,1,75,6,3,1,3,25,18,1,1,16,8,2,5,8,5,2,10,10,15,10,4,7,0,2,6,1,8,1,57,8,0,21,4,12,19,0,1,2,7,37,5,1,12,9,0,8,0
Family/Friends/Relationships,1,4,9,2,56,5,2,0,1,19,11,1,2,13,5,0,1,4,5,0,4,12,15,4,0,8,1,0,2,0,3,2,43,11,0,16,1,5,17,2,2,0,7,19,3,0,7,11,3,10,1
Career,0,0,1,0,20,2,0,0,4,7,7,0,0,5,3,1,1,3,1,1,2,10,3,1,1,2,0,0,1,1,5,0,9,0,0,7,1,1,3,1,1,0,2,10,1,0,5,2,0,1,0
Finance,3,1,2,0,22,4,0,0,4,16,4,0,1,7,2,3,1,2,4,1,2,5,10,4,0,0,0,0,3,0,4,0,14,4,0,8,0,3,8,0,3,0,6,13,0,0,4,5,0,3,0
Time Management/Organization,0,0,2,1,11,2,1,1,2,6,2,0,0,4,1,1,1,0,0,0,0,1,3,2,0,1,0,1,1,0,1,0,13,1,0,5,1,1,5,1,1,1,1,8,0,0,2,2,0,0,0
